Sample	posterior	likelihood	prior	M.1	M.2	SkylineNe.A.1	SkylineNe.A.2	SkylineNe.B.1	SkylineNe.B.2	psi.height	psi.treeLength	Mascot	D.treeLikelihood
172	-5220.772308544398	-5191.27017976147	-29.502128782927407	0.7371383748712156	0.49817724684181197	-2.1906757316426835	-0.3774152572584287	1.4922333736021411	-0.049245519490894896	12.081271027265556	26.520600656638564	-16.518182892092707	-5191.27017976147
174	-5220.772308544398	-5191.27017976147	-29.502128782927407	0.7371383748712156	0.49817724684181197	-2.1906757316426835	-0.3774152572584287	1.4922333736021411	-0.049245519490894896	12.081271027265556	26.520600656638564	-16.518182892092707	-5191.27017976147
176	-5220.57049575124	-5191.27017976147	-29.300315989770127	0.7371383748712156	0.49817724684181197	-2.1906757316426835	-0.7627028721734276	1.4922333736021411	-0.049245519490894896	12.081271027265556	26.520600656638564	-16.940773629227127	-5191.27017976147
178	-5219.525552484398	-5191.27017976147	-28.25537272292751	0.7371383748712156	0.49817724684181197	-2.1906757316426835	-0.7627028721734276	0.7333829464063093	-0.049245519490894896	12.081271027265556	26.520600656638564	-17.62211024110009	-5191.27017976147
180	-5219.525552484398	-5191.27017976147	-28.25537272292751	0.7371383748712156	0.49817724684181197	-2.1906757316426835	-0.7627028721734276	0.7333829464063093	-0.049245519490894896	12.081271027265556	26.520600656638564	-17.62211024110009	-5191.27017976147
182	-5216.52311813822	-5191.270179766366	-25.25293837185366	0.7371383748712156	0.49817724684181197	-2.1906757316426835	-0.7627028721734276	0.7333829464063093	-0.049245519490894896	7.5179690515033775	17.39399670511421	-14.619675890026237	-5191.270179766366
184	-5216.52311813822	-5191.270179766366	-25.25293837185366	0.7371383748712156	0.49817724684181197	-2.1906757316426835	-0.7627028721734276	0.7333829464063093	-0.049245519490894896	7.5179690515033775	17.39399670511421	-14.619675890026237	-5191.270179766366
186	-5216.420376847342	-5191.270179766366	-25.150197080975794	0.5813908191147706	0.49817724684181197	-2.1906757316426835	-0.7627028721734276	0.7333829464063093	-0.049245519490894896	7.5179690515033775	17.39399670511421	-14.653731280886205	-5191.270179766366
188	-5216.691257355916	-5190.941172932557	-25.75008442335943	0.5813908191147706	0.49817724684181197	-2.1906757316426835	-0.7627028721734276	0.7333829464063093	-0.049245519490894896	7.932480144942984	18.34619394921622	-15.25361862326984	-5190.941172932557
190	-5217.392362490341	-5191.610624466874	-25.781738023467653	0.5813908191147706	0.49817724684181197	-2.1906757316426835	-0.7627028721734276	0.7333829464063093	-0.049245519490894896	7.932480144942984	18.34965411630239	-15.285272223378065	-5191.610624466874
192	-5210.9707902968785	-5185.812097251233	-25.15869304564524	0.5813908191147706	0.49817724684181197	-2.1906757316426835	-0.7627028721734276	0.7333829464063093	-0.049245519490894896	7.932480144942984	18.280128708150755	-14.662227245555652	-5185.812097251233
194	-5210.715460645744	-5185.562483426112	-25.152977219632557	0.5813908191147706	0.49817724684181197	-2.1906757316426835	-0.7627028721734276	0.7333829464063093	-0.049245519490894896	7.932480144942984	18.279482279285233	-14.656511419542968	-5185.562483426112
196	-5210.715460645744	-5185.562483426112	-25.152977219632557	0.5813908191147706	0.49817724684181197	-2.1906757316426835	-0.7627028721734276	0.7333829464063093	-0.049245519490894896	7.932480144942984	18.279482279285233	-14.656511419542968	-5185.562483426112
198	-5210.564538851332	-5185.562483431705	-25.002055419627457	0.5813908191147706	0.49817724684181197	-2.1906757316426835	-0.7627028721734276	0.7333829464063093	-0.049245519490894896	7.705543910122879	17.825609809645023	-14.50558961953787	-5185.562483431705
200	-5210.605242840691	-5185.67842988717	-24.926812953521242	0.5813908191147706	0.49817724684181197	-2.1906757316426835	-0.7627028721734276	0.7333829464063093	-0.049245519490894896	7.6614025734983935	17.723495506966067	-14.430347153431654	-5185.67842988717
